2022 Utility Bundled Retail Sales- Commercial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
Alaska Electric Light & Power Co.;AK;Investor Owned;2.423;125.095;13.045,9;10,43
Alaska Power and Telephone Co;AK;Investor Owned;2.662;46.941;13.800,0;29,40
Alaska Village Elec Coop, Inc;AK;Cooperative;3.742;80.587;36.659,8;45,49
Chugach Electric Assn Inc;AK;Cooperative;16.339;1.247.883;195.913,5;15,70
Golden Valley Elec Assn Inc;AK;Cooperative;6.835;119.020;32.237,2;27,09
Homer Electric Assn Inc;AK;Cooperative;4.408;161.058;40.326,1;25,04
Ketchikan Public Utilities;AK;Municipal;1.368;74.196;8.467,1;11,41
Kodiak Electric Assn Inc;AK;Cooperative;1.103;21.092;3.618,0;17,15
Kotzebue Electric Assn Inc;AK;Cooperative;128;11.957;4.251,6;35,56
Matanuska Electric Assn Inc;AK;Cooperative;6.717;314.891;59.618,6;18,93
TDX North Slope Generating Co;AK;Investor Owned;162;47.273;11.293,0;23,89
Alabama Power Co;AL;Investor Owned;206.117;13.191.710;1.855.463,0;14,07
Albertville Municipal Utilities Board;AL;Municipal;2.301;182.558;20.734,0;11,36
Arab Electric Coop Inc;AL;Cooperative;2.777;102.207;12.850,0;12,57
Baldwin County El Member Corp;AL;Cooperative;7.826;506.104;52.827,0;10,44
Black Warrior Elec Member Corp;AL;Cooperative;6.559;104.686;12.154,9;11,61
Central Alabama Electric Coop;AL;Cooperative;2.036;88.072;11.244,0;12,77
Cherokee Electric Coop;AL;Cooperative;7.254;111.254;19.342,0;17,39
City of Andalusia;AL;Municipal;1.063;57.813;9.205,0;15,92
City of Athens - (AL);AL;Municipal;7.635;375.712;45.577,0;12,13
City of Bessemer Utilities;AL;Municipal;1.789;158.718;19.661,0;12,39
City of Courtland;AL;Municipal;212;14.751;1.731,0;11,73
City of Dothan - (AL);AL;Municipal;5.354;421.129;41.574,0;9,87
City of Florence - (AL);AL;Municipal;9.105;374.616;47.760,1;12,75
City of Hartselle;AL;Municipal;1.297;59.107;7.195,0;12,17
City of Huntsville - (AL);AL;Municipal;21.269;2.096.510;240.709,0;11,48
City of Muscle Shoals;AL;Municipal;1.744;109.684;13.746,0;12,53
City of Opelika - (AL);AL;Municipal;2.264;223.580;24.826,0;11,10
City of Russellville - (AL);AL;Municipal;1.135;63.472;8.706,0;13,72
City of Scottsboro;AL;Municipal;1.625;122.798;14.843,0;12,09
City of Tarrant;AL;Municipal;631;27.720;4.088,0;14,75
City of Troy - (AL);AL;Municipal;1.460;38.313;3.528,8;9,21
City of Tuscumbia;AL;Municipal;929;28.741;3.848,0;13,39
Clarke-Washington E M C;AL;Cooperative;1.784;37.315;5.063,0;13,57
Coosa Valley Electric Coop Inc;AL;Cooperative;2.466;30.777;4.991,0;16,22
Covington Electric Coop, Inc;AL;Cooperative;1.345;62.985;8.773,6;13,93
Cullman Electric Coop, Inc;AL;Cooperative;8.291;236.914;33.232,0;14,03
Cullman Power Board;AL;Municipal;1.975;161.671;20.492,0;12,68
