2022 Utility Bundled Retail Sales- Industrial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
Alaska Electric Light & Power Co.;AK;Investor Owned;119;116.995;13.369,2;11,43
Chugach Electric Assn Inc;AK;Cooperative;7;63.345;8.204,0;12,95
Golden Valley Elec Assn Inc;AK;Cooperative;557;842.722;169.391,8;20,10
Homer Electric Assn Inc;AK;Cooperative;23;119.983;14.685,5;12,24
Ketchikan Public Utilities;AK;Municipal;14;22.801;2.261,0;9,92
Kodiak Electric Assn Inc;AK;Cooperative;116;89.621;14.005,0;15,63
Alabama Power Co;AL;Investor Owned;6.125;20.936.508;1.762.625,0;8,42
Albertville Municipal Utilities Board;AL;Municipal;15;338.158;23.787,0;7,03
Arab Electric Coop Inc;AL;Cooperative;2;3.498;351,0;10,03
Black Warrior Elec Member Corp;AL;Cooperative;2;8.289;731,8;8,83
Central Alabama Electric Coop;AL;Cooperative;2;15.426;1.492,0;9,67
Cherokee Electric Coop;AL;Cooperative;3;129.791;9.463,0;7,29
City of Andalusia;AL;Municipal;2;256.652;13.645,0;5,32
City of Athens - (AL);AL;Municipal;14;391.840;30.882,0;7,88
City of Bessemer Utilities;AL;Municipal;1;9.747;767,0;7,87
City of Dothan - (AL);AL;Municipal;10;159.740;12.557,0;7,86
City of Florence - (AL);AL;Municipal;8;147.593;13.956,3;9,46
City of Hartselle;AL;Municipal;2;27.189;2.013,0;7,40
City of Huntsville - (AL);AL;Municipal;28;450.252;33.544,0;7,45
City of Muscle Shoals;AL;Municipal;9;101.265;8.117,0;8,02
City of Opelika - (AL);AL;Municipal;14;60.991;5.790,0;9,49
City of Russellville - (AL);AL;Municipal;1;18.991;1.418,0;7,47
City of Scottsboro;AL;Municipal;8;102.747;7.139,0;6,95
City of Tarrant;AL;Municipal;1;7.903;578,0;7,31
City of Troy - (AL);AL;Municipal;164;336.239;21.179,9;6,30
City of Tuscumbia;AL;Municipal;2;12.367;1.604,0;12,97
Clarke-Washington E M C;AL;Cooperative;58;22.718;2.692,0;11,85
Coosa Valley Electric Coop Inc;AL;Cooperative;91;63.756;7.723,0;12,11
Covington Electric Coop, Inc;AL;Cooperative;15;23.313;2.405,6;10,32
Cullman Electric Coop, Inc;AL;Cooperative;13;266.334;21.258,0;7,98
Cullman Power Board;AL;Municipal;3;20.709;2.004,0;9,68
Decatur Utilities;AL;Municipal;11;536.355;32.443,0;6,05
Dixie Electric Coop;AL;Cooperative;29;89.575;8.229,0;9,19
Foley Board of Utilities;AL;Municipal;3;40.046;3.738,0;9,33
Fort Payne Improvement Authority;AL;Municipal;7;76.559;6.375,0;8,33
Franklin Electric Coop - (AL);AL;Cooperative;3;43.893;3.429,0;7,81
Guntersville Electric Board;AL;Municipal;5;83.675;7.071,0;8,45
Joe Wheeler Elec Member Corp;AL;Cooperative;20;770.866;52.307,0;6,79
Marshall-De Kalb Electric Coop;AL;Cooperative;3;14.237;1.452,0;10,20
North Alabama Electric Coop;AL;Cooperative;3;136.725;7.791,0;5,70
Pea River Electric Coop;AL;Cooperative;2;18.221;1.537,4;8,44
Sand Mountain Electric Coop;AL;Cooperative;4;68.051;5.921,0;8,70
Sheffield Utilities;AL;Municipal;8;343.119;20.372,0;5,94
South Alabama Elec Coop, Inc;AL;Cooperative;5;146.858;14.188,0;9,66
Southern Pine Elec Coop, Inc;AL;Cooperative;8;34.463;3.321,0;9,64
Tallapoosa River Elec Coop Inc;AL;Cooperative;12;153.261;13.185,4;8,60
Tennessee Valley Authority;AL;Federal;10;4.872.332;240.568,6;4,94
Arkansas Valley Elec Coop Corp;AR;Cooperative;43;297.466;21.507,7;7,23
C & L Electric Coop Corp;AR;Cooperative;11;16.266;1.854,0;11,40
Carroll Electric Coop Corp - (AR);AR;Cooperative;50;370.927;29.912,0;8,06
City Water and Light Plant;AR;Municipal;35;556.052;38.330,0;6,89
City of Benton - (AR);AR;Municipal;24;50.568;3.818,0;7,55
City of Hope;AR;Municipal;1;44.050;5.105,0;11,59
City of North Little Rock - (AR);AR;Municipal;154;283.366;26.038,0;9,19
City of Siloam Springs - (AR);AR;Municipal;229;186.837;17.044,0;9,12
City of West Memphis - (AR);AR;Municipal;185;123.080;10.462,0;8,50
Clarksville Connected Utilities;AR;Municipal;44;140.188;9.872,9;7,04
Clay County Electric Coop Corp;AR;Cooperative;12;89.272;8.987,2;10,07
Conway Corporation;AR;Municipal;95;291.336;22.985,0;7,89
Craighead Electric Coop Corp;AR;Cooperative;669;57.846;8.027,0;13,88
Empire District Electric Co;AR;Investor Owned;9;76.287;6.481,0;8,50
Entergy Arkansas LLC;AR;Investor Owned;23.691;8.485.598;559.145,0;6,59
First Electric Coop Corp;AR;Cooperative;1.698;513.699;45.662,0;8,89
Mississippi County Electric Co;AR;Cooperative;851;3.044.676;207.188,0;6,80
North Arkansas Elec Coop, Inc;AR;Cooperative;10;103.186;9.942,0;9,64
Oklahoma Gas & Electric Co;AR;Investor Owned;368;1.045.825;86.149,5;8,24
Ouachita Electric Coop Corp;AR;Cooperative;18;97.635;7.984,0;8,18
Ozarks Electric Coop Corp - (AR);AR;Cooperative;33;121.012;12.939,7;10,69
Paragould Light & Water Comm;AR;Municipal;39;276.350;20.773,0;7,52
Petit Jean Electric Coop Corp;AR;Cooperative;9;19.185;2.102,2;10,96
South Central Ark El Coop, Inc;AR;Cooperative;15;106.006;8.920,0;8,41
