2022 Utility Bundled Retail Sales- Residential;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
Alaska Electric Light & Power Co.;AK;Investor Owned;15.159;162.982;20.081,7;12,32
Alaska Power and Telephone Co;AK;Investor Owned;5.627;26.750;9.950,0;37,20
Alaska Village Elec Coop, Inc;AK;Cooperative;7.770;44.102;23.512,0;53,31
Chugach Electric Assn Inc;AK;Cooperative;96.750;591.397;117.980,8;19,95
Golden Valley Elec Assn Inc;AK;Cooperative;40.277;282.672;80.932,3;28,63
Homer Electric Assn Inc;AK;Cooperative;28.994;171.896;49.034,7;28,53
Ketchikan Public Utilities;AK;Municipal;6.540;77.190;9.099,9;11,79
Kodiak Electric Assn Inc;AK;Cooperative;4.943;37.778;6.591,0;17,45
Kotzebue Electric Assn Inc;AK;Cooperative;1.215;7.722;2.934,1;38,00
Matanuska Electric Assn Inc;AK;Cooperative;62.094;450.988;99.099,0;21,97
Alabama Power Co;AL;Investor Owned;1.314.594;18.413.315;2.853.361,0;15,50
Albertville Municipal Utilities Board;AL;Municipal;8.185;122.198;13.259,0;10,85
Arab Electric Coop Inc;AL;Cooperative;13.565;202.278;24.796,0;12,26
Baldwin County El Member Corp;AL;Cooperative;77.977;1.043.914;132.914,0;12,73
Black Warrior Elec Member Corp;AL;Cooperative;20.198;270.829;32.651,9;12,06
Central Alabama Electric Coop;AL;Cooperative;44.255;613.337;89.660,0;14,62
Cherokee Electric Coop;AL;Cooperative;18.319;247.723;36.971,0;14,92
City of Andalusia;AL;Municipal;3.613;41.457;6.074,0;14,65
City of Athens - (AL);AL;Municipal;45.984;729.092;82.715,0;11,34
City of Bessemer Utilities;AL;Municipal;9.557;115.164;14.148,0;12,29
City of Courtland;AL;Municipal;552;7.637;876,0;11,47
City of Dothan - (AL);AL;Municipal;26.435;369.093;41.334,0;11,20
City of Florence - (AL);AL;Municipal;41.368;635.209;75.476,2;11,88
City of Hartselle;AL;Municipal;4.385;61.895;7.558,0;12,21
City of Huntsville - (AL);AL;Municipal;172.205;2.651.084;311.177,0;11,74
City of Muscle Shoals;AL;Municipal;6.997;102.882;12.346,0;12,00
City of Opelika - (AL);AL;Municipal;12.452;149.690;18.860,0;12,60
City of Russellville - (AL);AL;Municipal;3.957;51.390;6.898,0;13,42
City of Scottsboro;AL;Municipal;6.879;99.020;12.901,0;13,03
City of Tarrant;AL;Municipal;2.106;29.523;4.106,0;13,91
City of Troy - (AL);AL;Municipal;7.671;97.606;9.412,5;9,64
City of Tuscumbia;AL;Municipal;4.065;54.623;6.641,0;12,16
Clarke-Washington E M C;AL;Cooperative;18.703;220.519;30.929,0;14,03
Coosa Valley Electric Coop Inc;AL;Cooperative;15.278;223.062;31.989,0;14,34
Covington Electric Coop, Inc;AL;Cooperative;22.854;312.074;49.118,3;15,74
Cullman Electric Coop, Inc;AL;Cooperative;38.566;572.651;74.923,0;13,08
Cullman Power Board;AL;Municipal;6.889;89.631;11.559,0;12,90
Decatur Utilities;AL;Municipal;22.726;325.812;36.103,0;11,08
Diverse Power Incorporated;AL;Cooperative;577;7.742;1.356,7;17,52
Dixie Electric Coop;AL;Cooperative;21.448;309.434;42.109,0;13,61
Foley Board of Utilities;AL;Municipal;47.726;695.713;86.532,0;12,44
Fort Payne Improvement Authority;AL;Municipal;6.790;96.914;11.630,0;12,00
Franklin Electric Coop - (AL);AL;Cooperative;5.904;79.543;10.996,0;13,82
Guntersville Electric Board;AL;Municipal;4.841;70.282;8.874,0;12,63
Joe Wheeler Elec Member Corp;AL;Cooperative;36.202;595.054;80.325,0;13,50
Marshall-De Kalb Electric Coop;AL;Cooperative;16.864;249.600;31.471,0;12,61
North Alabama Electric Coop;AL;Cooperative;13.030;197.871;25.069,0;12,67
Pea River Electric Coop;AL;Cooperative;14.902;206.358;29.985,3;14,53
Sand Mountain Electric Coop;AL;Cooperative;26.593;384.061;48.545,0;12,64
Sheffield Utilities;AL;Municipal;15.493;236.660;29.220,0;12,35
Singing River Elec Cooperative;AL;Cooperative;330;4.739;559,9;11,81
South Alabama Elec Coop, Inc;AL;Cooperative;16.525;231.939;32.861,0;14,17
Southern Pine Elec Coop, Inc;AL;Cooperative;20.333;260.189;33.121,0;12,73
Tallapoosa River Elec Coop Inc;AL;Cooperative;28.460;389.540;49.029,5;12,59
Wiregrass Electric Coop, Inc;AL;Cooperative;21.595;314.897;43.638,0;13,86
Arkansas Valley Elec Coop Corp;AR;Cooperative;53.096;770.820;98.291,3;12,75
C & L Electric Coop Corp;AR;Cooperative;20.000;256.435;36.250,0;14,14
Carroll Electric Coop Corp - (AR);AR;Cooperative;94.425;1.343.474;160.222,0;11,93
City Water and Light Plant;AR;Municipal;34.116;516.374;43.910,0;8,50
City of Benton - (AR);AR;Municipal;12.802;155.357;15.384,0;9,90
City of Bentonville - (AR);AR;Municipal;23.548;281.021;32.073,0;11,41
City of Hope;AR;Municipal;5.827;65.991;9.099,0;13,79
City of North Little Rock - (AR);AR;Municipal;34.599;380.762;46.010,0;12,08
City of Siloam Springs - (AR);AR;Municipal;7.636;81.218;10.379,0;12,78
City of West Memphis - (AR);AR;Municipal;10.141;141.599;13.339,0;9,42
Clarksville Connected Utilities;AR;Municipal;3.811;46.278;5.132,3;11,09
Clay County Electric Coop Corp;AR;Cooperative;10.468;116.688;17.863,8;15,31
Conway Corporation;AR;Municipal;30.051;363.289;34.768,0;9,57
Craighead Electric Coop Corp;AR;Cooperative;24.548;392.644;48.538,0;12,36
Empire District Electric Co;AR;Investor Owned;4.508;52.903;6.938,9;13,12
Entergy Arkansas LLC;AR;Investor Owned;602.731;8.024.677;946.715,7;11,80
First Electric Coop Corp;AR;Cooperative;92.346;1.341.211;168.936,0;12,60
Mississippi County Electric Co;AR;Cooperative;3.261;58.276;5.463,0;9,37
North Arkansas Elec Coop, Inc;AR;Cooperative;35.460;445.775;62.370,0;13,99
Oklahoma Gas & Electric Co;AR;Investor Owned;57.451;774.073;94.570,6;12,22
Ouachita Electric Coop Corp;AR;Cooperative;8.467;93.212;11.689,0;12,54
Ozarks Electric Coop Corp - (AR);AR;Cooperative;67.414;876.358;118.776,4;13,55
Paragould Light & Water Comm;AR;Municipal;12.298;209.012;19.319,0;9,24
Petit Jean Electric Coop Corp;AR;Cooperative;18.663;226.982;30.765,0;13,55
South Central Ark El Coop, Inc;AR;Cooperative;9.271;113.703;15.927,0;14,01
Southwest Arkansas E C C;AR;Cooperative;24.515;374.771;47.002,1;12,54
Southwestern Electric Power Co;AR;Investor Owned;106.455;1.216.126;156.216,8;12,85
Woodruff Electric Coop Corp;AR;Cooperative;12.153;179.383;22.317,3;12,44
Ajo Improvement Co;AZ;Investor Owned;824;5.294;584,5;11,04
Ak-Chin Electric Utility Authority;AZ;State;319;5.059;483,8;9,56
Arizona Public Service Co;AZ;Investor Owned;1.202.975;14.756.798;2.046.110,7;13,87
City of Mesa - (AZ);AZ;Municipal;14.760;151.663;20.366,4;13,43
Dixie Escalante R E A, Inc;AZ;Cooperative;2.626;33.267;2.701,9;8,12
Electrical Dist No2 Pinal County;AZ;Political Subdivision;5.034;63.901;7.869,0;12,31
Electrical Dist No3 Pinal County;AZ;Political Subdivision;27.889;355.935;53.107,0;14,92
Garkane Energy Coop, Inc;AZ;Cooperative;1.265;24.432;2.459,0;10,06
